Ssiderea046003	factor 19
Ssiderea020302	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea000533	zinc ion binding
Ssiderea009384	vesicle docking involved in exocytosis
Ssiderea003832	iron-sulfur cluster assembly
Ssiderea012601	glutamic-type peptidase activity
Ssiderea006464	Zinc finger domain in CG10631, C. elegans LIN-15B and human P52rIPK.
Ssiderea042233	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
Ssiderea004035	inward rectifier potassium channel activity
Ssiderea025975	negative regulation of axon extension involved in regeneration
Ssiderea005048	Tyrosine kinase, catalytic domain
Ssiderea038129	biological adhesion
Ssiderea028919	regulation of canonical Wnt signaling pathway involved in osteoblast differentiation
Ssiderea049996	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea032224	RAD51 homolog B (S. cerevisiae)
Ssiderea004852	negative regulation of receptor internalization
Ssiderea052350	mitogen-activated protein kinase kinase binding
Ssiderea017376	interleukin-8 biosynthetic process
Ssiderea027415	protein-cysteine S-acyltransferase activity
Ssiderea001962	Ankyrin repeat
Ssiderea054226	Alkylglycerol monooxygenase
Ssiderea040978	Immunoglobulin C-2 Type
Ssiderea007110	Homeodomain
Ssiderea006100	apoptotic process
Ssiderea054047	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Ssiderea022909	G-protein coupled receptor activity
Ssiderea037386	posttranslational protein targeting to endoplasmic reticulum membrane
Ssiderea052647	ribulose-phosphate 3-epimerase activity
Ssiderea050128	sensory perception of sound
Ssiderea044804	Repeats in THEG (testicular haploid expressed gene) and several fly proteins.
Ssiderea028760	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea006630	G-protein coupled receptor activity
Ssiderea042291	Belongs to the enoyl-CoA hydratase isomerase family
Ssiderea031466	Transcription factor A
Ssiderea026158	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
Ssiderea029924	Calcium ion binding
Ssiderea045278	Leucine rich repeat N-terminal domain
Ssiderea001036	zinc ion binding
Ssiderea61030	transposition, RNA-mediated
Ssiderea005883	Coiled-coil domain-containing protein
Ssiderea005131	Myb/SANT-like DNA-binding domain
Ssiderea045860	ATPase activity, coupled to transmembrane movement of substances
Ssiderea023346	Lipid phosphate phosphohydrolase 2
Ssiderea028528	Common central domain of tyrosinase
Ssiderea013598	Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
Ssiderea014717	mesenchymal cell apoptotic process
Ssiderea60152	four-way junction helicase activity
Ssiderea052915	Belongs to the multicopper oxidase family
Ssiderea023654	GTP-Rho binding
Ssiderea055087	Glycosyl transferases group 1
Ssiderea021583	unfolded protein binding
Ssiderea015767	Embryonic ectoderm development
Ssiderea014867	Broad-Complex, Tramtrack and Bric a brac
Ssiderea018196	NACHT, LRR and PYD domains-containing protein
Ssiderea002764	Leucine rich repeat C-terminal domain
Ssiderea022512	Belongs to the peptidase M10A family
Ssiderea050555	Sodium:neurotransmitter symporter family
Ssiderea001872	glycosylphosphatidylinositol phospholipase D activity
Ssiderea051082	slow endocytic recycling
Ssiderea021335	Belongs to the ATP guanido phosphotransferase family
Ssiderea025933	malonate-semialdehyde dehydrogenase (acetylating) activity
Ssiderea022943	5'-tyrosyl-DNA phosphodiesterase activity
Ssiderea016268	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea036993	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7
Ssiderea053759	Belongs to the globin family
Ssiderea007570	protein kinase regulator activity
Ssiderea013946	neurogenic locus notch homolog protein
Ssiderea052504	dolichol biosynthetic process
Ssiderea052355	3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
Ssiderea012426	Tolloid-like protein 2
Ssiderea042640	Nephronophthisis 1
Ssiderea014383	synaptic vesicle cytoskeletal transport
Ssiderea058219	HEAT repeat-containing protein
Ssiderea61410	Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family
Ssiderea003810	Indoleamine 2,3-dioxygenase
Ssiderea022598	Ligand-gated ion channel
Ssiderea030135	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea034309	Receptor tyrosine kinase which mediates the pleiotropic actions of insulin. Binding of insulin leads to phosphorylation of several intracellular substrates, including, insulin receptor substrates (IRS1, 2, 3, 4), SHC, GAB1, CBL and other signaling intermediates. Each of these phosphorylated proteins serve as docking proteins for other signaling proteins that contain Src- homology-2 domains (SH2 domain) that specifically recognize different phosphotyrosine residues, including the p85 regulatory subunit of PI3K and SHP2. Phosphorylation of IRSs proteins lead to the activation of two main signaling pathways the PI3K-AKT PKB pathway, which is responsible for most of the metabolic actions of insulin, and the Ras-MAPK pathway, which regulates expression of some genes and cooperates with the PI3K pathway to control cell growth and differentiation. Binding of the SH2 domains of PI3K to phosphotyrosines on IRS1 leads to the activation of PI3K and the generation of phosphatidylinositol-(3, 4, 5)-triphosphate (PIP3), a lipid second messenger, which activates several PIP3-dependent serine threonine kinases, such as PDPK1 and subsequently AKT PKB. The net effect of this pathway is to produce a translocation of the glucose transporter SLC2A4 GLUT4 from cytoplasmic vesicles to the cell membrane to facilitate glucose transport. Moreover, upon insulin stimulation, activated AKT PKB is responsible for anti- apoptotic effect of insulin by inducing phosphorylation of BAD
Ssiderea034973	histone demethylase activity (H4-K20 specific)
Ssiderea037962	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Ssiderea022790	protein kinase regulator activity
Ssiderea057810	galactosyltransferase activity
Ssiderea053160	chondroitin-glucuronate 5-epimerase activity
Ssiderea048362	G-protein coupled receptor activity
Ssiderea023919	cellular zinc ion homeostasis
Ssiderea025050	inflammatory response
Ssiderea005792	gamma-aminobutyric acid type B receptor subunit
Ssiderea020101	cell surface pattern recognition receptor signaling pathway
Ssiderea005039	carbohydrate binding
Ssiderea041994	Cystatin-like domain
Ssiderea046264	tRNA wobble uridine modification
Ssiderea030430	calcium ion binding
Ssiderea005149	ribosomal protein L15
Ssiderea048371	G-protein coupled receptor activity
Ssiderea001677	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Ssiderea014932	sensory perception of sound
Ssiderea042219	Structural maintenance of chromosomes
Ssiderea032543	Common central domain of tyrosinase
Ssiderea024915	hematopoietic progenitor cell differentiation
Ssiderea007252	Thrombospondin type 1 repeats
Ssiderea000772	sulfuric ester hydrolase activity
Ssiderea047461	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Ssiderea041478	Major Facilitator Superfamily
Ssiderea032602	G-protein coupled receptor activity
Ssiderea031834	DNA binding
Ssiderea006685	Aerolysin toxin
Ssiderea033394	neuronal cell adhesion molecule
Ssiderea010510	Mannose receptor, C type 2
Ssiderea62397	embryonic brain development
Ssiderea045536	RNA splicing
Ssiderea013416	sphingosine N-acyltransferase activity
Ssiderea62211	-
Ssiderea051414	G-protein coupled receptor activity
Ssiderea60675	HEAT repeat containing 9
Ssiderea047074	structural constituent of cuticle
Ssiderea036613	inactivation of paternal X chromosome
