Ssiderea250769	tRNA guanylyltransferase activity
Ssiderea241742	-
Ssiderea251926	Cytochrome c oxidase subunit Va
Ssiderea180971	ATP binding
Ssiderea247567	Folate receptor
Ssiderea243376	BTB POZ domain-containing protein
Ssiderea206028	transmembrane transport
Ssiderea237288	hedgehog receptor activity
Ssiderea241524	Ribonuclease H protein
Ssiderea256762	nuclease activity
Ssiderea264937	ATP binding. It is involved in the biological process described with protein phosphorylation
Ssiderea240088	SUMO1 sentrin specific peptidase
Ssiderea232082	branchiomeric skeletal muscle development
Ssiderea246914	acidic dipeptidase 2
Ssiderea223623	ammonium transmembrane transporter activity
Ssiderea252754	epithelial cilium movement involved in determination of left/right asymmetry
Ssiderea264683	Nucleoside diphosphate kinase
Ssiderea249556	-
Ssiderea260195	transmembrane transport
Ssiderea263894	nucleic acid binding
Ssiderea261788	sequence-specific DNA binding
Ssiderea251380	glycyl-tRNA aminoacylation
Ssiderea266939	positive regulation of prolactin signaling pathway
Ssiderea224508	GABA-A receptor activity
Ssiderea260977	sequence-specific DNA binding
Ssiderea259903	heme binding
Ssiderea250371	protein modification by small protein conjugation
Ssiderea510650	maturation of LSU-rRNA
Ssiderea242078	Belongs to the inositol phosphokinase (IPK) family
Ssiderea255218	ATP-dependent RNA helicase activity
Ssiderea260379	plasma membrane repair
Ssiderea221057	Receptor-interacting serine threonine-protein kinase 2
Ssiderea554529	alpha1-adrenergic receptor activity
Ssiderea239606	-
Ssiderea267929	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity
Ssiderea257100	protein transport
Ssiderea266027	L-glutamate import across plasma membrane
Ssiderea261537	endodermal-mesodermal cell signaling
Ssiderea260970	DNA mismatch repair protein Mlh3
Ssiderea427270	mitotic G2 DNA damage checkpoint
Ssiderea269571	Ribonuclease H protein
Ssiderea244909	regulation of phosphoprotein phosphatase activity
Ssiderea249934	negative regulation of G2/M transition of mitotic cell cycle
Ssiderea449718	cyclic nucleotide-gated ion channel activity
Ssiderea244450	Belongs to the cyclin family
Ssiderea261233	ATP P2X receptor
Ssiderea247252	receptor-associated protein-like 2
Ssiderea232640	-
Ssiderea234964	-
Ssiderea256714	synaptic vesicle cytoskeletal transport
Ssiderea263092	Meckel syndrome type 1
Ssiderea255210	dimethylglycine dehydrogenase activity
Ssiderea243152	rRNA (cytosine-C5-)-methyltransferase activity
Ssiderea247115	regulation of vesicle fusion
Ssiderea264500	Huntingtin interacting protein 1
Ssiderea266591	monocarboxylate transporter
Ssiderea236658	Ceramide synthase 5
Ssiderea20236	isocitrate dehydrogenase (NADP+) activity
Ssiderea184243	Vertebrate ancient long opsin
Ssiderea165326	GABA-A receptor activity
Ssiderea267040	ribose-5-phosphate isomerase activity
Ssiderea256499	ligase activity
Ssiderea256759	catalytic activity. It is involved in the biological process described with metabolic process
Ssiderea252245	MiCRoSpherule Protein 1
Ssiderea255508	snRNA 3'-end processing
Ssiderea261273	Coiled-coil domain-containing protein 154
Ssiderea271388	negative regulation of inclusion body assembly
Ssiderea230958	Astacin (Peptidase family M12A)
Ssiderea252322	3'-flap-structured DNA binding
Ssiderea260209	unfolded protein binding
Ssiderea248632	forked DNA-dependent helicase activity
Ssiderea255276	dihydropyrimidine dehydrogenase (NADP+) activity
Ssiderea269037	Tubulin gamma complex associated protein 6
Ssiderea222617	natriuretic peptide receptor activity
Ssiderea271641	family, member B
Ssiderea262962	aminopeptidase activity
Ssiderea253415	Forkhead associated domain
Ssiderea264196	GTPase activity
Ssiderea233104	acid phosphatase activity
Ssiderea268487	Spindle assembly abnormal protein 6 homolog
Ssiderea454558	The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated
Ssiderea261783	guanyl-nucleotide exchange factor activity
Ssiderea552199	positive regulation of hh target transcription factor activity
Ssiderea251874	effector protein 1
Ssiderea264023	positive regulation of Arp2/3 complex-mediated actin nucleation
Ssiderea361432	Serine peptidase inhibitor, Kunitz type 3
Ssiderea224130	Vesicle transport protein
Ssiderea212274	Trehalase
